converged,reason,fun,start_seed,start_theta_eav,start_theta0,market,theta0,theta_vix,theta_eav,loglik,nit,mean_sigma2
True,,,100,6.0205092041504755e-06,0.00017930416381399173,CH,0.00029757676363966173,5.886006742279951e-08,5.377626030387717e-05,77429.02424655869,6.0,0.0003523132441568119
False,penalty-trap,10000000000000.0,101,0.0001312702360366506,0.0003520188588678058,CH,,,,,,
True,,,102,0.00016730570490443045,2.7027837635823884e-06,CH,0.0002853699995914073,2.2202019378899535e-07,5.154731727817665e-05,77578.4574994921,13.0,0.0003523132441568119
False,penalty-trap,10000000000000.0,103,3.0991228821275304e-06,6.981080821826704e-06,CH,,,,,,
True,,,104,3.8301630798332074e-06,0.00018334170900626996,CH,0.0003298549763563122,1.2189890631929937e-07,0.00024165152980405122,77922.92227102509,18.0,0.0003523132441568119
True,,,105,1.8241892781329906e-06,5.278008220492633e-05,CH,0.0002831146001486049,8.49286746722858e-08,9.496584714411873e-05,77528.78199479671,11.0,0.0003523132441568119
False,penalty-trap,10000000000000.0,106,2.144853296930741e-06,0.00044821804182458786,CH,,,,,,
True,,,107,2.274432821435048e-05,5.628322744529351e-05,CH,0.0002291805164182358,2.2244283943003865e-07,0.0001338111903864882,77369.16016358603,30.0,0.0003523132441568119
True,,,108,2.080767527242927e-06,0.00020431565152115977,CH,0.0002803315151739416,7.060019660622415e-08,3.2836374331048216e-05,77589.6168806614,6.0,0.0003523132441568119
True,,,109,0.00010578712859517219,2.9345669354419315e-05,CH,0.00031034378771566595,4.730259441650272e-08,6.490760031639197e-05,77547.14781215452,12.0,0.0003523132441568119
True,,,110,8.376818321707503e-05,0.0003246176934073519,CH,0.00031476830461626043,1.3953737001684964e-07,0.00044551934020426896,77676.64962825646,18.0,0.0003523132441568119
True,,,111,2.3205049976671943e-05,2.5985279383115295e-06,CH,2.5579259255572766e-06,-1.8493584224915277e-07,-8.725549755822034e-05,70741.41272521918,1.0,0.0003523132441568119
True,,,112,0.00014308549672577864,2.0621458705792544e-06,CH,0.00028422770287702857,1.0512426639483841e-07,0.000333386131999322,77452.04057116166,24.0,0.0003523132441568119
True,,,113,2.458727174918183e-06,1.5505586275353835e-06,CH,1.5505586275353835e-06,-1.6639669769999442e-07,2.458727174918183e-06,67436.96946119046,0.0,0.0003523132441568119
False,penalty-trap,10000000000000.0,114,1.4780564656567723e-05,9.216130578437284e-05,CH,,,,,,
True,,,115,2.9423611170741504e-05,7.86301782504814e-05,CH,0.00029247693126858575,4.407820732700738e-08,0.00011499280406242604,77350.49335664454,13.0,0.0003523132441568119
True,,,116,0.0003831732133957885,2.9189108289341317e-06,CH,0.0005661558911722211,-1.5042786340912863e-08,0.0001455875180630495,76874.60291249766,4.0,0.0003523132441568119
False,penalty-trap,10000000000000.0,117,4.269164587611489e-05,0.00022994845390963728,CH,,,,,,
True,,,118,5.611907947569363e-06,0.00032501502193669655,CH,0.00034195636708714847,1.5516239235496373e-07,0.0002808110455147604,77900.21627304309,15.0,0.0003523132441568119
True,,,119,0.0001623692163490094,0.00038094664653968226,CH,0.00033653282227129235,1.3553841541657774e-07,0.0004114490916449139,77836.72001484384,19.0,0.0003523132441568119
False,penalty-trap,10000000000000.0,120,4.760577003013484e-06,0.0002014757865645817,CH,,,,,,
False,penalty-trap,10000000000000.0,121,0.00016774659778375335,5.104472709774598e-05,CH,,,,,,
False,penalty-trap,10000000000000.0,122,1.0449346076960052e-05,0.00016888918825203953,CH,,,,,,
False,penalty-trap,10000000000000.0,123,3.933187830603986e-06,6.944599605311164e-05,CH,,,,,,
True,,,124,0.00041273285479123835,0.00013163597684588354,CH,0.00024674912984628454,5.135981380518365e-07,0.00013336128966636408,77816.47643156386,18.0,0.0003523132441568119
True,,,125,1.1298867881324664e-05,0.0001989968983879652,CH,0.0002626102197160997,8.378954181034381e-08,3.6995176097979996e-05,77397.02966284328,6.0,0.0003523132441568119
True,,,126,1.5082628639405216e-06,1.0391279915019745e-06,CH,0.00023680211449331087,8.878921435405204e-08,0.00033828450123160624,77178.07565770856,36.0,0.0003523132441568119
True,,,127,6.425240452572842e-06,1.4743323418421124e-06,CH,1.4743323418421124e-06,-1.3838971020811048e-07,6.425240452572842e-06,72685.19469209491,3.0,0.0003523132441568119
True,,,128,1.4797356777949904e-05,6.0131932419393226e-05,CH,0.00022737251749244217,1.4749683462210824e-07,8.585503852697524e-05,77133.96864404622,29.0,0.0003523132441568119
False,penalty-trap,1618104942844.0156,129,0.0002654728193297839,1.0895780858071537e-05,CH,,,,,,
True,,,130,6.694635941304203e-06,1.672592684576469e-05,CH,1.672592684576469e-05,-2.0111008708285335e-07,6.694635941304203e-06,62205.54269529318,0.0,0.0003523132441568119
True,,,131,2.7337181322157968e-05,5.556299879405689e-05,CH,0.0002929381349966047,1.1273083410534775e-07,0.00012227916702118124,77723.72819184627,9.0,0.0003523132441568119
True,,,132,0.00010261937871782984,2.425921241714646e-06,CH,0.0005556687893433415,1.405603937626282e-07,-0.00012193150020671338,77174.12641249693,3.0,0.0003523132441568119
True,,,133,9.417179486886577e-06,0.00042845382322926484,CH,0.00034291967610779303,1.8843045514174489e-07,0.0003016224556502066,77880.81806987882,29.0,0.0003523132441568119
True,,,134,2.942660508500495e-05,0.00041103441346938363,CH,0.0003909278994169452,1.3345271235167488e-08,0.00037151759842788957,77640.73568674093,6.0,0.0003523132441568119
True,,,135,0.0002698392657275998,3.0176079867895775e-05,CH,2.836536946939583e-05,-2.061221623227266e-07,-0.00016918640995095653,18991.073388650435,5.0,0.0003523132441568119
