date,actual_rv,position,HAR_RV_forecast,HAR_RV_resid_var,HAR_MedRV_input_forecast,HAR_MedRV_input_resid_var,HAR_RK_input_forecast,HAR_RK_input_resid_var,HAR_TSRV_input_forecast,HAR_TSRV_input_resid_var
2020-04-17,0.00017292443044250006,658,7.513391288620326e-05,0.2910690980513284,8.115022473728878e-05,0.2998239123492131,9.08590104332318e-05,0.2982097032817836,9.660194003572319e-05,0.30189970032904984
2020-04-20,7.842837083094027e-05,659,0.00011160956237865384,0.29201284331407806,0.0001296777527817218,0.3005602939119134,0.00012129024012733377,0.2986680161275574,0.00013278816353294413,0.30222293148630097
2020-04-21,0.00019984246522496103,660,9.206104737530812e-05,0.29162951202222753,9.710574668372409e-05,0.300282642294958,9.067047915518399e-05,0.2983323041255926,9.09013213423186e-05,0.3019681362445291
2020-04-22,0.0001249350918084377,661,0.00013888160557057382,0.29243292832519197,0.0001565140939026968,0.30094617604500784,0.00016260152306594772,0.29917815855404734,0.00017429864534009034,0.3028054206108141
2020-04-23,0.00020740900937449972,662,0.00012605962101836293,0.2919909002906633,0.00013527529838058304,0.30049706923420416,0.00012353762735348958,0.2987426217968056,0.00013002472181874636,0.3023939484003051
2020-04-24,6.966366276574925e-05,663,0.00016044683279170665,0.2921622691578939,0.00016595012286548409,0.30053645638784016,0.0001650487861851749,0.2989508356569369,0.00017178870517176056,0.3025031277879706
2020-04-27,4.828991597940752e-05,664,0.00010723404227145863,0.2924230030057237,0.00011448406463759436,0.3008473798974086,9.646671998230101e-05,0.2992540488350456,9.867553833879603e-05,0.3028853228320197
2020-04-28,7.765961293534007e-05,665,9.236540921678706e-05,0.2926120821500272,9.625752745087517e-05,0.3011484357469636,0.00010633562452322387,0.2992355085771479,0.00011053928920750802,0.30289447999679375
2020-04-29,7.231939732653597e-05,666,9.415748794460318e-05,0.2921711605389408,8.86968889734351e-05,0.3006996306267852,8.915013871942116e-05,0.29882384146236696,9.031434487308002e-05,0.30249744318163047
2020-04-30,5.3466063958375765e-05,667,8.658206201383639e-05,0.29175114229523685,8.869751702093337e-05,0.3002503899292976,8.577041925280958e-05,0.29837845684983044,8.715159168028705e-05,0.30204869199706663
2020-05-04,0.00016923661522534153,668,6.416580176466558e-05,0.29147999342732306,6.700886752526515e-05,0.29998695002933495,5.820023786185775e-05,0.2980850273722494,5.7135044634379534e-05,0.3017637291223506
2020-05-05,5.719192534768242e-05,669,0.00010184611284509902,0.2928908978836562,0.00010516416451159046,0.3012581271354611,8.682150270521211e-05,0.29983462272882927,8.134697434553411e-05,0.30358109193830984
2020-05-06,9.07497322122386e-05,670,7.480845071976974e-05,0.29272538673351506,7.650251697280536e-05,0.3011167558905873,8.297376351864118e-05,0.2994905987692837,8.243214793444765e-05,0.303184947635066
2020-05-07,7.227427060882625e-05,671,8.584537230462278e-05,0.2924580446005081,8.215493244287482e-05,0.30081891913057135,8.89230048953198e-05,0.2991268134302154,8.855886558255324e-05,0.30282166351548157
2020-05-08,8.641571393369667e-05,672,8.052978698354161e-05,0.2920212266750647,8.267079390330808e-05,0.3003693287382428,8.824097853907069e-05,0.2986839730872499,8.527741612742793e-05,0.30237232187556834
2020-05-11,4.61002399153134e-05,673,8.72252716408066e-05,0.29165436701713965,9.052718449470816e-05,0.29997650392403424,7.787874432581508e-05,0.29826200239210643,7.789233486417607e-05,0.30196049434278344
2020-05-12,7.560918482890208e-05,674,6.278181200001167e-05,0.29157790735414996,6.732099229773462e-05,0.2999372024449277,6.446467019256033e-05,0.298025472084906,6.81586392121138e-05,0.3017166333324166
2020-05-13,5.285844465064693e-05,675,7.3667322208594e-05,0.2913062864197146,7.569018513653974e-05,0.29959503423518946,6.604307100427953e-05,0.29772217495633124,7.00185031234094e-05,0.3013629609543658
2020-05-14,6.599790395422465e-05,676,6.29991873677894e-05,0.29092413920562105,7.0971405446383e-05,0.29921395483915386,5.555109377360403e-05,0.2972872019607675,5.664483444776451e-05,0.30093968067867033
2020-05-15,8.814691758174894e-05,677,6.6445575505235e-05,0.2905463148960333,7.10060874874224e-05,0.2987781061360077,6.0230741405788716e-05,0.29699764190119765,6.532952630346207e-05,0.3006283613859677
2020-05-18,5.44053294830185e-05,678,7.23283599674288e-05,0.29038531761944825,7.262442880315584e-05,0.2985319922133899,6.814029719444476e-05,0.29696931080832834,7.388026266419637e-05,0.3004801447968168
2020-05-19,4.4037451555910867e-05,679,6.408658876828973e-05,0.2899837661843316,6.056521083832422e-05,0.2981183959106262,5.972187207218206e-05,0.2965379888066685,6.432472909565482e-05,0.3000706604073115
2020-05-21,6.423582203397528e-05,680,5.743734897895448e-05,0.28963276107787866,5.574326112494153e-05,0.2977196844621675,6.072380570259382e-05,0.296135306628346,6.257734146855429e-05,0.2997038193298449
2020-05-22,6.60185408827527e-05,681,6.453550345843846e-05,0.28930169367557634,6.081623314544357e-05,0.2974038965825729,6.710055357143994e-05,0.2957592078227421,7.207970971374066e-05,0.2993066338220144
2020-05-25,0.00012751972756808072,682,6.501849723732428e-05,0.2889160984379739,5.452703381770843e-05,0.2970433545892587,6.199535715915237e-05,0.29534841248190724,5.9143089975728175e-05,0.2988707855640131
2020-05-26,5.735666488535419e-05,683,8.255894108749522e-05,0.2894710982811285,6.376715243724775e-05,0.2980646484653573,8.761198333805959e-05,0.2960200890076268,8.792372661537605e-05,0.29966468896132487
2020-05-27,4.291860629192579e-05,684,6.62883360923474e-05,0.289115647916035,6.122427491562716e-05,0.2976290290264605,7.292478330288465e-05,0.29569543615143284,7.4262720812419e-05,0.2993360497873861
2020-05-28,0.00011623010222165196,685,6.041854804947948e-05,0.2888141885716288,5.284168101009564e-05,0.29725426309757935,6.576058605900046e-05,0.2954748029348034,6.667999949524387e-05,0.29912872460345724
2020-05-29,5.978917384735728e-05,686,8.53054450746774e-05,0.2893213466566936,7.699688877587154e-05,0.2981004171792478,7.660141082679071e-05,0.2957915874824168,7.219628929164791e-05,0.29941489398133503
2020-06-01,4.045524500244859e-05,687,7.0726210427965e-05,0.28896237177437983,6.923284407964173e-05,0.2976796596572316,7.037922889433209e-05,0.295373054997888,6.972978791811287e-05,0.29897871336577225
2020-06-02,3.041525061071336e-05,688,5.606612560320749e-05,0.28878951333173825,5.2112667545457644e-05,0.297464173972794,5.7613314376691155e-05,0.2951810931465399,5.614346797996889e-05,0.2987685717446248
2020-06-03,3.999970215296533e-05,689,4.937945290616576e-05,0.2886851325819254,5.2177492375081644e-05,0.29725040868567587,4.520693697391274e-05,0.29510110298005243,4.18629478529725e-05,0.298644816910746
2020-06-04,4.9311995986188424e-05,690,5.283665755178769e-05,0.2882706843896002,5.1361933319124315e-05,0.29683702522101657,4.272170674031332e-05,0.2946718447224477,4.072728617015591e-05,0.29822506780024083
2020-06-05,1.98906265889174e-05,691,4.850865878202802e-05,0.28785925302817655,4.7590169346698235e-05,0.29642176000459564,4.147817171014757e-05,0.2943652835288518,4.172431130593329e-05,0.29795860513399447
2020-06-08,4.282989073924531e-05,692,3.4123878663295116e-05,0.28824973276544835,3.534275703842401e-05,0.2967505107067981,3.098961470572314e-05,0.2944372294505541,3.1295781789810296e-05,0.29803209862415286
2020-06-09,5.663732622009864e-05,693,4.21344661145929e-05,0.28803028219306037,4.2717848344467365e-05,0.29648729932204854,3.681203535192408e-05,0.2943293730069385,3.697652920351914e-05,0.29790813560446355
