date,post_widening,stock_count,event_count,control_count,event_rate,upper_event_count,lower_event_count,touch_count,near_close_count,event_next_abs_mean,control_next_abs_mean,diff_next_abs,event_side_adj_next_ret_mean,event_continuation_share
2016-03-17,1,873,13,860,0.014891179839633447,12,1,12,11,0.040433547640067014,0.011617671988399362,0.02881587565166765,0.02177031854385272,0.6153846153846154
2016-03-18,1,874,10,864,0.011441647597254004,10,0,9,6,0.04817043128499503,0.012555797140843657,0.03561463414415137,0.025364626343375107,0.6
2016-03-21,1,873,16,857,0.018327605956471937,13,3,15,13,0.03687457556202731,0.010939279614972415,0.025935295947054897,9.133129921607905e-06,0.5
2016-03-22,1,873,12,861,0.013745704467353952,8,4,11,7,0.032905567294819894,0.011401695478615295,0.021503871816204598,0.014941396131033373,0.5833333333333334
2016-03-23,1,877,13,864,0.014823261117445839,12,1,11,8,0.03967306117152137,0.011302250532351855,0.028370810639169512,0.0056345507237517845,0.5384615384615384
2016-03-24,1,877,7,870,0.00798175598631699,5,2,6,4,0.04752457484817489,0.012428135118846658,0.03509643972932823,0.023043751833946993,0.5714285714285714
2016-03-25,1,877,15,862,0.01710376282782212,13,2,12,11,0.03720533186660684,0.013656426047857533,0.02354890581874931,0.0021461898727844018,0.4666666666666667
2016-03-28,1,875,8,867,0.009142857142857144,7,1,7,6,0.04659118051225293,0.018596476365133327,0.027994704147119603,-0.024661545365744754,0.125
2016-03-29,1,874,8,866,0.009153318077803204,3,5,8,4,0.026606548719745177,0.014552221053524796,0.012054327666220381,-0.006593792724125113,0.5
2016-03-30,1,872,10,862,0.011467889908256881,10,0,9,8,0.048503442761074475,0.010960137794141454,0.03754330496693302,0.022732261443609108,0.6
2016-03-31,1,875,16,859,0.018285714285714287,10,6,14,12,0.04269404133155969,0.010761573184480587,0.031932468147079104,0.018381095233415,0.5
2016-04-01,1,876,12,864,0.0136986301369863,8,4,11,8,0.060422581947945066,0.01453978604247759,0.045882795905467476,0.013458720705732688,0.6666666666666666
2016-04-06,1,875,12,863,0.013714285714285714,8,4,9,9,0.04772632847757072,0.01209940293173348,0.03562692554583724,0.012397077992858253,0.5
2016-04-07,1,874,11,863,0.012585812356979404,7,4,9,8,0.0533680271478325,0.011069778512687282,0.04229824863514522,0.017411577732807035,0.6363636363636364
2016-04-08,1,871,16,855,0.018369690011481057,12,4,13,11,0.0488128393545096,0.013270545849878542,0.035542293504631055,0.02265569029554077,0.5
2016-04-11,1,872,17,855,0.0194954128440367,13,4,17,15,0.03737839491062037,0.016173709720948344,0.02120468518967203,0.0071313855656196445,0.35294117647058826
