date,news_count,gdelt_total,news_share,log_news_share,news_z
2025-07-25,2087,173393,0.012036241370758911,-4.419833066347712,-0.4932414762946806
2025-07-26,1359,125044,0.010868174402610281,-4.521916540195829,-0.9279849877436505
2025-07-27,1536,135259,0.011355991098559061,-4.478009824225271,-0.7317273773606184
2025-07-28,2493,217959,0.011437930987020496,-4.470820167165154,-0.6941709205310105
2025-07-29,2773,195061,0.014216065743536637,-4.2533825635247915,0.25898415137008995
2025-07-30,2624,207214,0.012663237039968342,-4.369052204588468,-0.2410135597300542
2025-07-31,2423,181361,0.013360093956252999,-4.315483078244699,-0.00022980843664219714
2025-08-01,1873,158170,0.011841689321615983,-4.436128980513446,-0.5267668375092114
2025-08-02,1350,131822,0.010241082672088118,-4.58134793526366,-1.1616707231245418
2025-08-03,1832,154538,0.011854689461491671,-4.435031754536522,-0.5064875010343485
2025-08-04,1734,149148,0.011626035883820099,-4.454508223193025,-0.5879780547553364
2025-08-05,2720,210338,0.012931567286938166,-4.3480838803238235,-0.10211407754324377
2025-08-06,2256,170488,0.013232602881141194,-4.3250715793792125,0.006990046764862253
2025-08-07,2704,188475,0.014346730335588274,-4.244233213917048,0.3801945491552876
2025-08-08,1990,168040,0.01184241847179243,-4.436067407564781,-0.4899154771152319
2025-08-09,1590,146005,0.010890038012396836,-4.519906851465138,-0.8807245220772841
2025-08-10,1301,110689,0.011753652124420675,-4.443591267586586,-0.5133130414663382
2025-08-11,2176,151520,0.014361140443505808,-4.243229300444072,0.46701436569570454
2025-08-12,2450,184151,0.013304299189252298,-4.319668048675383,0.10396424400137916
2025-08-13,2469,203624,0.012125289749734805,-4.412461945558771,-0.34762750328866354
2025-08-14,2490,183903,0.013539746496794507,-4.302125734214303,0.2330895401267127
2025-08-15,2638,204862,0.012876961076236686,-4.3523155274304255,-0.014999113091610632
2025-08-16,2097,143981,0.01456442169452914,-4.22917359450634,0.6746580756811411
2025-08-17,2184,128327,0.017019021717954913,-4.073423635869882,1.561923855346316
2025-08-18,2489,165427,0.015045911489660092,-4.196648986510613,0.8960408924415703
2025-08-19,2202,174623,0.012610022734691306,-4.373263326097235,-0.10014118084457425
