date,btc_usd_adj_close,spy_adj_close,vix_adj_close,btc_usd_close,spy_close,vix_close,btc_usd_high,spy_high,vix_high,btc_usd_low,spy_low,vix_low,btc_usd_open,spy_open,vix_open,btc_usd_volume,spy_volume,vix_volume
2015-03-19,260.9280090332031,173.49554443359375,14.069999694824219,260.9280090332031,209.5,14.069999694824219,264.2439880371094,210.47000122070312,14.970000267028809,248.63600158691406,209.02999877929688,13.84000015258789,255.8800048828125,209.9600067138672,14.680000305175781,52732000,117917300.0,0.0
2015-03-20,261.7489929199219,175.02696228027344,13.020000457763672,261.7489929199219,210.41000366210938,13.020000457763672,264.8479919433594,211.02000427246094,13.529999732971191,259.1619873046875,209.49000549316406,12.539999961853027,260.95599365234375,209.7100067138672,13.520000457763672,18456700,177715100.0,0.0
2015-03-21,260.0249938964844,,,260.0249938964844,,,262.1960144042969,,,255.64999389648438,,,261.6440124511719,,,17130100,,
2015-03-22,267.9599914550781,,,267.9599914550781,,,269.74700927734375,,,259.5899963378906,,,259.9169921875,,,18438100,,
2015-03-23,266.739990234375,174.68592834472656,13.40999984741211,266.739990234375,210.0,13.40999984741211,277.2969970703125,211.11000061035156,13.529999732971191,261.7449951171875,210.0,12.890000343322754,267.8949890136719,210.4199981689453,13.520000457763672,22811900,71784500.0,0.0
2015-03-24,245.59500122070312,173.70431518554688,13.619999885559082,245.59500122070312,208.82000732421875,13.619999885559082,267.00299072265625,210.39999389648438,13.680000305175781,244.15499877929688,208.74000549316406,12.59000015258789,266.5769958496094,209.85000610351562,13.359999656677246,40073700,77805300.0,0.0
2015-03-25,246.19700622558594,171.15892028808594,15.4399995803833,246.19700622558594,205.75999450683594,15.4399995803833,249.19000244140625,209.35000610351562,15.550000190734863,236.51499938964844,205.7100067138672,13.199999809265137,247.4720001220703,209.07000732421875,13.260000228881836,35866900,159521700.0,0.0
2015-03-26,248.53199768066406,170.7512664794922,15.800000190734863,248.53199768066406,205.27000427246094,15.800000190734863,254.35400390625,206.3699951171875,17.190000534057617,244.90499877929688,204.1199951171875,15.229999542236328,246.2760009765625,204.9600067138672,16.639999389648438,25730000,153067200.0,0.0
2015-03-27,247.0290069580078,171.14227294921875,15.069999694824219,247.0290069580078,205.74000549316406,15.069999694824219,256.8110046386719,205.9499969482422,15.829999923706055,245.21299743652344,204.89999389648438,14.1899995803833,248.5659942626953,205.1300048828125,15.729999542236328,17274900,118939000.0,0.0
2015-03-28,252.79800415039062,,,252.79800415039062,,,254.2050018310547,,,246.97500610351562,,,246.97500610351562,,,16040900,,
