Date,ticker,ret,log_rv_1d,log_range_var,log_forward5_rv,left_tail5,har_d_l1,har_w_l1,har_m_l1,range_l1,forecast_revision_shock_raw,growth_revision_raw,inflation_revision_raw,labor_revision_raw,speech_count_raw,chair_weighted_shock_raw,forecast_revision_shock_z_l1,chair_weighted_shock_z_l1,growth_revision_z_l1,inflation_revision_z_l1,labor_revision_z_l1,speech_count_z_l1
2025-08-12,SPY,0.010589807346852886,-9.0957266230435,-10.33872139579758,-8.952820852566882,0.0,-12.44996127488016,-11.329989811770165,-11.987932610729734,-11.020109149143181,0.0,0.0,0.0,0.0,0.0,0.0,1.9987798241648465,2.210433033498643,-3.076344125646285,-1.0643598860613235,-3.857667197389505,0.6489929649543897
2025-08-13,SPY,0.003417190784149149,-11.357872947183335,-11.445286777049123,-9.969180455145882,0.0,-9.0957266230435,-11.036371940772545,-11.887843887731533,-10.33872139579758,0.0,0.0,0.0,0.0,0.0,0.0,-0.38144736341338803,-0.381189854683701,-0.010393909183102314,-0.3174580701449255,-0.1515948841264531,-0.5899936045039906
2025-08-14,SPY,9.300924530109e-05,-18.56562331582474,-11.57944499842359,-10.072542506845618,0.0,-11.357872947183335,-11.357699263603635,-11.834787517220803,-11.445286777049123,0.0,0.0,0.0,0.0,0.0,0.0,-0.38144736341338803,-0.381189854683701,-0.010393909183102314,-0.3174580701449255,-0.1515948841264531,-0.5899936045039906
2025-08-15,SPY,-0.0023440387238755633,-12.111759773958207,-11.41098553381794,-9.748655025591942,0.0,-18.56562331582474,-12.23697435750278,-12.182929572915699,-11.57944499842359,0.0,0.0,0.0,0.0,0.0,0.0,-0.38091723894689156,-0.3807084752258712,-0.010393909183102314,-0.3187060206173355,-0.1515948841264531,-0.5803583895500917
2025-08-18,SPY,-0.0002175444212131339,-16.866214985652146,-12.754668410163568,-8.162531787099637,0.0,-12.111759773958207,-12.716188786977991,-12.21505736178701,-11.41098553381794,0.0,0.0,0.0,0.0,0.0,0.0,-0.38091723894689156,-0.3807084752258712,-0.010393909183102314,-0.3187060206173355,-0.1515948841264531,-0.5803583895500917
2025-08-19,SPY,-0.005439966259086049,-10.427964841014818,-10.49052706169612,-8.096685762461904,0.0,-16.866214985652146,-13.599439529132388,-12.518130361271373,-12.754668410163568,0.0,0.0,0.0,0.0,0.0,0.0,-0.38091723894689156,-0.3807084752258712,-0.010393909183102314,-0.3187060206173355,-0.1515948841264531,-0.5803583895500917
2025-08-20,SPY,-0.0026607138194369995,-11.858321678033994,-10.12393264117682,-8.137349655720321,0.0,-10.427964841014818,-13.86588717272665,-12.335876704305395,-10.49052706169612,0.0,0.0,0.0,0.0,0.0,0.0,-0.37078146784905575,-0.37123784469689725,0.004626868587018666,-0.31624461913333773,-0.13822739660858424,-0.568273706132074
2025-08-21,SPY,-0.004019781992650628,-11.033055217011334,-11.078808205290171,-8.143866562059365,0.0,-11.858321678033994,-13.965976918896782,-12.304993096936698,-10.12393264117682,0.0,0.0,0.0,0.0,0.0,0.0,-0.37078146784905575,-0.37123784469689725,0.004626868587018666,-0.31624461913333773,-0.13822739660858424,-0.568273706132074
2025-08-22,SPY,0.015240110357538583,-8.367648974883098,-9.499286885710005,-8.1565494678831,0.0,-11.033055217011334,-12.459463299134102,-12.001825447961158,-11.078808205290171,8.808855628313067,-4.521359526036795,3.507951356407858,0.7795447458684129,1.0,13.2132834424696,-0.37078146784905575,-0.37123784469689725,0.004626868587018666,-0.31624461913333773,-0.13822739660858424,-0.568273706132074
2025-08-25,SPY,-0.004410733032417902,-10.847428765667107,-11.797795437337514,-9.311610296029912,0.0,-8.367648974883098,-11.71064113931908,-11.948441431601937,-9.499286885710005,0.0,0.0,0.0,0.0,0.0,0.0,0.9896135168239674,1.470167300519018,-1.8776832943873034,0.9654017159852776,0.34357614232404454,0.6879102758440896
2025-08-26,SPY,0.0041782277951014635,-10.955736189621947,-11.211380904214966,-8.97734706707516,0.0,-10.847428765667107,-10.506883895322073,-11.713009275653548,-11.797795437337514,0.0,0.0,0.0,0.0,0.0,0.0,-0.37888519636799334,-0.38127233726145604,0.020845038526974505,-0.32426645237954077,-0.14391681316650679,-0.568273706132074
2025-08-27,SPY,0.0022759564506928953,-12.170709794086148,-11.797433216873157,-8.888301518970085,0.0,-10.955736189621947,-10.612438165043496,-11.713815362318341,-11.211380904214966,0.0,0.0,0.0,0.0,0.0,0.0,-0.3784912602868656,-0.3808455725677564,0.02178385647874641,-0.32426645237954077,-0.14391681316650679,-0.5586679359616592
2025-08-28,SPY,0.0035351635079114985,-11.289991453394405,-11.124365045626995,-8.506842056977671,0.0,-12.170709794086148,-10.67491578825393,-11.513424244806648,-11.797433216873157,14.54932576295245,-4.9680624556423,0.7097232079488999,-8.87154009936125,1.0,14.54932576295245,-0.3784912602868656,-0.3808455725677564,0.02178385647874641,-0.32426645237954077,-0.14391681316650679,-0.5586679359616592
