date,exchange,asset,quote,open,high,low,close,volume
2025-02-02,kraken,BTC,USD,100624.3,101415.5,96100.0,97696.1,2816.31259953
2025-02-03,kraken,BTC,USD,97696.0,102500.0,91000.0,101425.1,5541.67940806
2025-02-04,kraken,BTC,USD,101425.1,101721.9,96250.0,97868.5,3162.38590831
2025-02-05,kraken,BTC,USD,97868.4,99125.0,96191.0,96623.8,1343.73465352
2025-02-06,kraken,BTC,USD,96613.4,99100.0,95700.0,96559.2,2017.20689834
2025-02-07,kraken,BTC,USD,96558.5,100181.7,95634.1,96547.5,1926.56834175
2025-02-08,kraken,BTC,USD,96547.5,96860.1,95656.9,96496.5,383.81280043
2025-02-09,kraken,BTC,USD,96496.5,97291.2,94763.1,96473.0,702.74391142
2025-02-10,kraken,BTC,USD,96473.0,98300.0,95326.7,97441.2,1163.37216215
2025-02-11,kraken,BTC,USD,97441.2,98442.3,94899.2,95767.1,1329.40106338
2025-02-12,kraken,BTC,USD,95767.1,98042.8,94111.0,97874.0,1463.18182995
2025-02-13,kraken,BTC,USD,97874.0,98077.1,95273.7,96628.0,1291.44841164
2025-02-14,kraken,BTC,USD,96628.0,98826.0,96340.7,97464.0,1523.91696415
2025-02-15,kraken,BTC,USD,97464.0,97902.0,97279.3,97588.2,375.80330877
2025-02-16,kraken,BTC,USD,97588.2,97700.0,96112.6,96144.1,311.46490458
2025-02-17,kraken,BTC,USD,96144.1,97032.6,95224.7,95772.8,1005.28486366
2025-02-18,kraken,BTC,USD,95772.8,96650.9,93388.7,95600.0,1472.41908125
2025-02-19,kraken,BTC,USD,95600.0,96875.0,94996.8,96625.7,1116.70166311
2025-02-20,kraken,BTC,USD,96625.7,98744.0,96405.7,98339.1,1280.02593709
2025-02-21,kraken,BTC,USD,98339.1,99481.1,94858.0,96099.5,2181.18505022
2025-02-22,kraken,BTC,USD,96099.5,96900.0,95791.3,96600.1,484.13874675
2025-02-23,kraken,BTC,USD,96600.1,96621.6,95300.0,96303.4,359.68758804
2025-02-24,kraken,BTC,USD,96303.4,96483.0,91400.0,91534.4,2273.50832688
2025-02-25,kraken,BTC,USD,91534.4,92487.3,86000.0,88632.6,5210.26309616
2025-02-26,kraken,BTC,USD,88632.6,89271.0,80525.0,84089.8,5878.70103157
2025-02-27,kraken,BTC,USD,84089.9,86951.2,82611.0,84691.4,2506.41796058
2025-02-28,kraken,BTC,USD,84668.4,85061.0,78219.0,84309.2,4498.77887051
2025-03-01,kraken,BTC,USD,84309.2,86515.9,83799.3,86020.8,1112.34047277
2025-03-02,kraken,BTC,USD,86020.8,95000.0,84500.1,94285.0,5152.5358943
2025-03-03,kraken,BTC,USD,94285.0,94401.6,85055.0,86144.7,5136.27936399
2025-03-04,kraken,BTC,USD,86144.7,88888.0,81434.5,87250.0,4690.09095506
2025-03-05,kraken,BTC,USD,87250.0,90975.1,86378.4,90610.4,3795.41190016
2025-03-06,kraken,BTC,USD,90610.4,92741.5,87836.3,89916.8,2992.56395797
2025-03-07,kraken,BTC,USD,89925.3,91227.4,84665.7,86762.3,4534.10086304
2025-03-08,kraken,BTC,USD,86762.3,86809.4,85230.0,86164.1,816.51310316
2025-03-09,kraken,BTC,USD,86164.1,86435.2,80006.7,80684.0,2019.63804496
2025-03-10,kraken,BTC,USD,80709.9,83971.5,77414.3,78558.8,3411.3441324
2025-03-11,kraken,BTC,USD,78558.9,83607.9,76615.7,82900.0,3925.04144014
2025-03-12,kraken,BTC,USD,82900.0,84482.0,80628.9,83673.4,2515.76502183
2025-03-13,kraken,BTC,USD,83673.4,84282.4,79930.7,81112.3,1998.70930581
2025-03-14,kraken,BTC,USD,81112.3,85278.7,80847.2,83997.6,2075.86273147
2025-03-15,kraken,BTC,USD,83997.7,84659.4,83666.9,84332.9,584.76838101
2025-03-16,kraken,BTC,USD,84333.0,85021.0,82009.8,82599.9,842.27980256
2025-03-17,kraken,BTC,USD,82600.0,84700.0,82500.0,84015.2,1262.16112303
2025-03-18,kraken,BTC,USD,84015.2,84015.2,81166.0,82705.4,1526.03270747
2025-03-19,kraken,BTC,USD,82705.4,87000.0,82553.3,86879.5,2673.46536757
2025-03-20,kraken,BTC,USD,86879.6,87433.9,83609.1,84178.6,2156.72058329
2025-03-21,kraken,BTC,USD,84178.6,84771.3,83179.3,84034.3,1018.69958284
2025-03-22,kraken,BTC,USD,84034.3,84450.0,83667.4,83800.0,440.24781187
2025-03-23,kraken,BTC,USD,83800.0,86100.0,83799.9,86076.5,588.42498116
2025-03-24,kraken,BTC,USD,86076.5,88750.0,85558.1,87505.3,2187.05354124
2025-03-25,kraken,BTC,USD,87511.9,88500.0,86306.7,87458.1,1275.81713678
2025-03-26,kraken,BTC,USD,87458.1,88263.0,85853.7,86899.0,1808.20481963
2025-03-27,kraken,BTC,USD,86899.0,87755.8,85838.9,87209.9,1018.98407902
2025-03-28,kraken,BTC,USD,87209.9,87441.7,83530.1,84373.9,2052.98377273
