week_end,obs_date,release_date,value
1991-09-20,1991-09-19,1991-09-20,257.74
1991-09-27,1991-09-26,1991-09-27,40.15
1991-10-04,1991-10-03,1991-10-04,78.43
1991-10-11,1991-10-10,1991-10-11,144.29
1991-10-18,1991-10-17,1991-10-18,180.16
1991-10-25,1991-10-24,1991-10-25,139.96
1991-11-01,1991-10-31,1991-11-01,111.26
1991-11-08,1991-11-07,1991-11-08,336.22
1991-11-15,1991-11-14,1991-11-15,62.08
1991-11-22,1991-11-21,1991-11-22,262.97
1991-11-29,1991-11-28,1991-11-29,139.47
1991-12-06,1991-12-05,1991-12-06,130.1
1991-12-13,1991-12-12,1991-12-13,149.71
1991-12-20,1991-12-19,1991-12-20,222.28
1991-12-27,1991-12-26,1991-12-27,125.92
1992-01-03,1992-01-02,1992-01-03,223.8
1992-01-10,1992-01-09,1992-01-10,81.38
1992-01-17,1992-01-16,1992-01-17,79.23
1992-01-24,1992-01-23,1992-01-24,123.99
1992-01-31,1992-01-30,1992-01-31,315.54
1992-02-07,1992-02-06,1992-02-07,85.02
1992-02-14,1992-02-13,1992-02-14,106.72
1992-02-21,1992-02-20,1992-02-21,313.57
1992-02-28,1992-02-27,1992-02-28,163.13
1992-03-06,1992-03-05,1992-03-06,75.27
1992-03-13,1992-03-12,1992-03-13,151.59
1992-03-20,1992-03-19,1992-03-20,121.91
1992-03-27,1992-03-26,1992-03-27,113.69
1992-04-03,1992-04-02,1992-04-03,99.14
1992-04-10,1992-04-09,1992-04-10,51.71
1992-04-17,1992-04-16,1992-04-17,121.56
1992-04-24,1992-04-23,1992-04-24,52.56
1992-05-01,1992-04-30,1992-05-01,75.3
1992-05-08,1992-05-07,1992-05-08,104.53
1992-05-15,1992-05-14,1992-05-15,45.2
1992-05-22,1992-05-21,1992-05-22,92.96
1992-05-29,1992-05-28,1992-05-29,65.03
1992-06-05,1992-06-04,1992-06-05,64.82
1992-06-12,1992-06-11,1992-06-12,79.66
1992-06-19,1992-06-18,1992-06-19,232.01
1992-06-26,1992-06-25,1992-06-26,40.32
1992-07-03,1992-07-02,1992-07-03,159.7
1992-07-10,1992-07-09,1992-07-10,109.81
1992-07-17,1992-07-16,1992-07-17,137.53
1992-07-24,1992-07-23,1992-07-24,115.22
1992-07-31,1992-07-30,1992-07-31,89.65
1992-08-07,1992-08-06,1992-08-07,104.91
1992-08-14,1992-08-13,1992-08-14,140.13
1992-08-21,1992-08-20,1992-08-21,229.76
1992-08-28,1992-08-27,1992-08-28,113.82
1992-09-04,1992-09-03,1992-09-04,184.48
1992-09-11,1992-09-10,1992-09-11,79.29
1992-09-18,1992-09-17,1992-09-18,87.12
1992-09-25,1992-09-24,1992-09-25,156.73
1992-10-02,1992-10-01,1992-10-02,110.52
1992-10-09,1992-10-08,1992-10-09,228.31
1992-10-16,1992-10-15,1992-10-16,85.78
1992-10-23,1992-10-22,1992-10-23,69.3
1992-10-30,1992-10-29,1992-10-30,162.82
1992-11-06,1992-11-05,1992-11-06,330.52
1992-11-13,1992-11-12,1992-11-13,128.53
1992-11-20,1992-11-19,1992-11-20,53.04
1992-11-27,1992-11-26,1992-11-27,61.41
1992-12-04,1992-12-03,1992-12-04,92.7
1992-12-11,1992-12-10,1992-12-11,83.16
1992-12-18,1992-12-17,1992-12-18,68.35
1992-12-25,1992-12-24,1992-12-25,80.69
1993-01-01,1992-12-31,1993-01-01,44.44
1993-01-08,1993-01-07,1993-01-08,40.82
1993-01-15,1993-01-14,1993-01-15,117.29
1993-01-22,1993-01-21,1993-01-22,145.34
1993-01-29,1993-01-28,1993-01-29,128.23
1993-02-05,1993-02-04,1993-02-05,67.4
1993-02-12,1993-02-11,1993-02-12,120.02
1993-02-19,1993-02-18,1993-02-19,178.66
1993-02-26,1993-02-25,1993-02-26,44.59
1993-03-05,1993-03-04,1993-03-05,87.88
1993-03-12,1993-03-11,1993-03-12,117.34
1993-03-19,1993-03-18,1993-03-19,278.23
1993-03-26,1993-03-25,1993-03-26,127.54
1993-04-02,1993-04-01,1993-04-02,66.58
1993-04-09,1993-04-08,1993-04-09,98.04
1993-04-16,1993-04-15,1993-04-16,68.01
1993-04-23,1993-04-22,1993-04-23,119.23
1993-04-30,1993-04-29,1993-04-30,93.24
1993-05-07,1993-05-06,1993-05-07,112.26
1993-05-14,1993-05-13,1993-05-14,109.94
1993-05-21,1993-05-20,1993-05-21,87.23
1993-05-28,1993-05-27,1993-05-28,95.39
1993-06-04,1993-06-03,1993-06-04,98.56
1993-06-11,1993-06-10,1993-06-11,74.92
1993-06-18,1993-06-17,1993-06-18,105.37
1993-06-25,1993-06-24,1993-06-25,306.61
1993-07-02,1993-07-01,1993-07-02,210.97
1993-07-09,1993-07-08,1993-07-09,101.61
1993-07-16,1993-07-15,1993-07-16,54.13
1993-07-23,1993-07-22,1993-07-23,30.99
1993-07-30,1993-07-29,1993-07-30,83.53
1993-08-06,1993-08-05,1993-08-06,289.42
1993-08-13,1993-08-12,1993-08-13,53.96
1993-08-20,1993-08-19,1993-08-20,186.63
1993-08-27,1993-08-26,1993-08-27,67.82
1993-09-03,1993-09-02,1993-09-03,45.03
1993-09-10,1993-09-09,1993-09-10,104.02
1993-09-17,1993-09-16,1993-09-17,108.32
1993-09-24,1993-09-23,1993-09-24,257.4
1993-10-01,1993-09-30,1993-10-01,51.6
1993-10-08,1993-10-07,1993-10-08,51.13
1993-10-15,1993-10-14,1993-10-15,51.28
1993-10-22,1993-10-21,1993-10-22,50.14
1993-10-29,1993-10-28,1993-10-29,125.02
1993-11-05,1993-11-04,1993-11-05,70.34
1993-11-12,1993-11-11,1993-11-12,28.87
1993-11-19,1993-11-18,1993-11-19,175.89
1993-11-26,1993-11-25,1993-11-26,8.45
1993-12-03,1993-12-02,1993-12-03,36.08
1993-12-10,1993-12-09,1993-12-10,72.09
1993-12-17,1993-12-16,1993-12-17,299.53
1993-12-24,1993-12-23,1993-12-24,74.18
1993-12-31,1993-12-30,1993-12-31,75.33
1994-01-07,1994-01-06,1994-01-07,23.16
1994-01-14,1994-01-13,1994-01-14,185.05
1994-01-21,1994-01-20,1994-01-21,91.72
1994-01-28,1994-01-27,1994-01-28,29.8
1994-02-04,1994-02-03,1994-02-04,59.29
1994-02-11,1994-02-10,1994-02-11,73.18
1994-02-18,1994-02-17,1994-02-18,41.5
1994-02-25,1994-02-24,1994-02-25,78.36
1994-03-04,1994-03-03,1994-03-04,71.28
1994-03-11,1994-03-10,1994-03-11,34.91
1994-03-18,1994-03-17,1994-03-18,27.02
1994-03-25,1994-03-24,1994-03-25,154.09
1994-04-01,1994-03-31,1994-04-01,179.21
1994-04-08,1994-04-07,1994-04-08,64.8
1994-04-15,1994-04-14,1994-04-15,63.08
1994-04-22,1994-04-21,1994-04-22,42.36
1994-04-29,1994-04-28,1994-04-29,55.93
1994-05-06,1994-05-05,1994-05-06,206.49
1994-05-13,1994-05-12,1994-05-13,89.75
1994-05-20,1994-05-19,1994-05-20,89.4
1994-05-27,1994-05-26,1994-05-27,41.88
1994-06-03,1994-06-02,1994-06-03,14.41
1994-06-10,1994-06-09,1994-06-10,27.92
1994-06-17,1994-06-16,1994-06-17,70.57
1994-06-24,1994-06-23,1994-06-24,79.89
1994-07-01,1994-06-30,1994-07-01,86.25
1994-07-08,1994-07-07,1994-07-08,60.8
1994-07-15,1994-07-14,1994-07-15,88.29
1994-07-22,1994-07-21,1994-07-22,42.74
1994-07-29,1994-07-28,1994-07-29,49.96
1994-08-05,1994-08-04,1994-08-05,128.77
1994-08-12,1994-08-11,1994-08-12,28.37
1994-08-19,1994-08-18,1994-08-19,177.41
1994-08-26,1994-08-25,1994-08-26,29.24
1994-09-02,1994-09-01,1994-09-02,48.61
1994-09-09,1994-09-08,1994-09-09,14.38
1994-09-16,1994-09-15,1994-09-16,62.78
1994-09-23,1994-09-22,1994-09-23,116.13
1994-09-30,1994-09-29,1994-09-30,69.5
1994-10-07,1994-10-06,1994-10-07,68.25
1994-10-14,1994-10-13,1994-10-14,34.51
1994-10-21,1994-10-20,1994-10-21,48.64
1994-10-28,1994-10-27,1994-10-28,67.06
1994-11-04,1994-11-03,1994-11-04,58.77
1994-11-11,1994-11-10,1994-11-11,270.85
1994-11-18,1994-11-17,1994-11-18,114.48
1994-11-25,1994-11-24,1994-11-25,189.27
1994-12-02,1994-12-01,1994-12-02,35.07
1994-12-09,1994-12-08,1994-12-09,48.9
1994-12-16,1994-12-15,1994-12-16,68.52
1994-12-23,1994-12-22,1994-12-23,118.77
1994-12-30,1994-12-29,1994-12-30,64.12
1995-01-06,1995-01-05,1995-01-06,72.45
1995-01-13,1995-01-12,1995-01-13,176.97
1995-01-20,1995-01-19,1995-01-20,66.5
1995-01-27,1995-01-26,1995-01-27,177.69
1995-02-03,1995-02-02,1995-02-03,92.2
1995-02-10,1995-02-09,1995-02-10,80.29
1995-02-17,1995-02-16,1995-02-17,123.79
1995-02-24,1995-02-23,1995-02-24,122.79
1995-03-03,1995-03-02,1995-03-03,70.12
1995-03-10,1995-03-09,1995-03-10,282.25
1995-03-17,1995-03-16,1995-03-17,49.91
1995-03-24,1995-03-23,1995-03-24,32.68
1995-03-31,1995-03-30,1995-03-31,103.03
1995-04-07,1995-04-06,1995-04-07,102.8
1995-04-14,1995-04-13,1995-04-14,39.76
1995-04-21,1995-04-20,1995-04-21,32.32
1995-04-28,1995-04-27,1995-04-28,213.45
1995-05-05,1995-05-04,1995-05-05,92.48
1995-05-12,1995-05-11,1995-05-12,44.6
1995-05-19,1995-05-18,1995-05-19,51.27
1995-05-26,1995-05-25,1995-05-26,97.89
1995-06-02,1995-06-01,1995-06-02,111.28
1995-06-09,1995-06-08,1995-06-09,114.2
1995-06-16,1995-06-15,1995-06-16,12.97
1995-06-23,1995-06-22,1995-06-23,387.73
1995-06-30,1995-06-29,1995-06-30,113.49
1995-07-07,1995-07-06,1995-07-07,172.98
1995-07-14,1995-07-13,1995-07-14,13.64
1995-07-21,1995-07-20,1995-07-21,131.06
1995-07-28,1995-07-27,1995-07-28,33.67
1995-08-04,1995-08-03,1995-08-04,41.27
1995-08-11,1995-08-10,1995-08-11,34.08
1995-08-18,1995-08-17,1995-08-18,34.41
1995-08-25,1995-08-24,1995-08-25,19.88
