date,rv_aligned,active_delivery,n_returns,anchor_ok,rolled
2022-11-24,6.897846655144319e-05,202212,229,True,False
2022-11-25,4.389254462799019e-05,202212,229,True,False
2022-11-28,0.00018183158487195938,202212,230,True,False
2022-11-29,0.00012658234319564855,202212,229,True,False
2022-11-30,9.851803176531902e-05,202212,229,True,False
2022-12-01,0.0001717024077959746,202212,229,True,False
2022-12-02,0.00011259378405226397,202212,229,True,False
2022-12-05,0.0001856643143368488,202212,229,True,False
2022-12-06,7.772314544404865e-05,202212,229,True,False
2022-12-07,0.00011854720827154227,202212,229,True,False
2022-12-08,0.0001497987920798497,202212,230,True,False
2022-12-09,0.00010672101642005189,202212,229,True,False
2022-12-12,0.00010673282079831577,202212,230,True,False
2022-12-13,8.294390450272684e-05,202212,229,True,False
2022-12-14,0.00022238799056697745,202212,229,True,False
2022-12-15,0.00019962145307452492,202212,229,True,False
2022-12-16,9.782023537278369e-05,202212,229,True,False
2022-12-19,0.00010175378311624026,202212,229,True,False
2022-12-20,0.00015142906781234316,202212,229,True,False
2022-12-21,8.000885064430273e-05,202212,229,True,False
2022-12-22,5.9163320318303975e-05,202301,229,True,True
2022-12-23,0.00010118091157104943,202301,229,True,False
2022-12-26,0.00013431791643458852,202301,229,True,False
2022-12-27,6.355654457784018e-05,202301,228,True,False
2022-12-28,6.49612013503801e-05,202301,229,True,False
2022-12-29,8.420736919288196e-05,202301,229,True,False
2022-12-30,5.370095913462522e-05,202301,229,True,False
2023-01-03,0.00010706395728996609,202301,229,True,False
2023-01-04,0.00010949503381002056,202301,229,True,False
2023-01-05,8.15546334060638e-05,202301,229,True,False
2023-01-06,8.115916437290117e-05,202301,229,True,False
2023-01-09,0.00010833102811454585,202301,229,True,False
2023-01-10,7.944532886707293e-05,202301,229,True,False
2023-01-11,6.7038702384805e-05,202301,229,True,False
2023-01-12,6.360921583815602e-05,202301,229,True,False
2023-01-13,0.00018406967352714392,202301,229,True,False
2023-01-16,5.4752234129947546e-05,202301,230,True,False
2023-01-17,2.6596232870669905e-05,202301,229,True,False
2023-01-30,0.000862718404289245,202301,228,True,False
2023-01-31,4.882713837304394e-05,202302,231,True,True
2023-02-01,5.2700457955339496e-05,202302,230,True,False
2023-02-02,9.621766064438255e-05,202302,230,True,False
2023-02-03,7.9126608314187e-05,202302,229,True,False
2023-02-06,8.084906247825044e-05,202302,229,True,False
2023-02-07,6.520002486854886e-05,202302,229,True,False
2023-02-08,6.721228701482299e-05,202302,229,True,False
2023-02-09,4.097985855894897e-05,202302,229,True,False
2023-02-10,9.367327693506522e-05,202302,230,True,False
2023-02-13,8.465456877191302e-05,202302,229,True,False
2023-02-14,3.585104692440763e-05,202302,230,True,False
2023-02-15,0.0002695963536630392,202302,228,True,False
2023-02-16,5.780154561241591e-05,202303,229,True,True
2023-02-17,5.495515155601858e-05,202303,229,True,False
2023-02-20,5.431266978944928e-05,202303,229,True,False
2023-02-21,2.1678478509255164e-05,202303,229,True,False
2023-02-22,4.818266718654755e-05,202303,230,True,False
2023-02-23,8.609504046276063e-05,202303,230,True,False
2023-02-24,6.392180684992369e-05,202303,229,True,False
2023-03-01,8.760258735368375e-05,202303,229,True,False
2023-03-02,0.00010510707012405399,202303,229,True,False
2023-03-03,4.5706150652077136e-05,202303,229,True,False
