Date,MO
2016-10-31,33.76488494873047
2016-11-01,33.438045501708984
2016-11-02,33.25421142578125
2016-11-03,33.228675842285156
2016-11-04,32.876319885253906
2016-11-07,33.330814361572266
2016-11-08,33.62187576293945
2016-11-09,32.702693939208984
2016-11-10,31.517961502075195
2016-11-11,31.538387298583984
2016-11-14,31.247314453125
2016-11-15,31.56392478942871
2016-11-16,31.997983932495117
2016-11-17,32.0745849609375
2016-11-18,32.054161071777344
2016-11-21,32.52396011352539
2016-11-22,32.789512634277344
2016-11-23,32.69248580932617
2016-11-25,32.927391052246094
2016-11-28,33.106109619140625
2016-11-29,33.284854888916016
2016-11-30,32.64653396606445
2016-12-01,32.11543273925781
2016-12-02,32.677162170410156
2016-12-05,32.442256927490234
2016-12-06,32.83546829223633
2016-12-07,33.40229797363281
2016-12-08,33.376773834228516
2016-12-09,33.84146499633789
2016-12-12,33.953819274902344
2016-12-13,34.05594253540039
2016-12-14,33.67295455932617
2016-12-15,33.83636474609375
2016-12-16,34.23468017578125
2016-12-19,34.60235595703125
2016-12-20,34.700252532958984
2016-12-21,34.664180755615234
2016-12-22,34.875465393066406
2016-12-23,34.89607620239258
2016-12-27,34.94760513305664
2016-12-28,34.787872314453125
2016-12-29,34.96305465698242
2016-12-30,34.844539642333984
2017-01-03,34.849693298339844
2017-01-04,34.96305465698242
2017-01-05,35.00429916381836
2017-01-06,35.158878326416016
2017-01-09,35.01458740234375
2017-01-10,34.89607620239258
2017-01-11,34.86000442504883
2017-01-12,34.787872314453125
2017-01-13,34.82392883300781
2017-01-17,35.28770446777344
2017-01-18,35.63810729980469
2017-01-19,35.83907699584961
2017-01-20,36.076114654541016
2017-01-23,36.354373931884766
2017-01-24,36.462589263916016
2017-01-25,36.565635681152344
2017-01-26,36.508968353271484
2017-01-27,36.60171127319336
2017-01-30,36.740848541259766
2017-01-31,36.67900848388672
2017-02-01,36.7872200012207
2017-02-02,36.818145751953125
2017-02-03,36.8387451171875
2017-02-06,36.735687255859375
2017-02-07,37.20462417602539
2017-02-08,37.178855895996094
2017-02-09,37.354061126708984
2017-02-10,37.317970275878906
2017-02-13,37.12215805053711
2017-02-14,37.03972244262695
2017-02-15,37.18916320800781
2017-02-16,37.4674186706543
2017-02-17,37.60140609741211
2017-02-21,37.95179748535156
2017-02-22,37.9260368347168
2017-02-23,38.36919021606445
2017-02-24,38.353736877441406
2017-02-27,38.43618392944336
2017-02-28,38.606224060058594
2017-03-01,38.95663833618164
2017-03-02,39.018463134765625
2017-03-03,38.94118118286133
2017-03-06,38.94633483886719
2017-03-07,39.21429443359375
