Date,C
2011-01-21,35.925865173339844
2011-01-24,35.705448150634766
2011-01-25,35.41157913208008
2011-01-26,35.338096618652344
2011-01-27,35.48503112792969
2011-01-28,34.6768798828125
2011-01-31,35.41157913208008
2011-02-01,35.99930953979492
2011-02-02,35.6319694519043
2011-02-03,35.338096618652344
2011-02-04,35.41157913208008
2011-02-07,35.99930953979492
2011-02-08,35.925865173339844
2011-02-09,35.55850601196289
2011-02-10,35.11768341064453
2011-02-11,35.852386474609375
2011-02-14,36.072792053222656
2011-02-15,36.072792053222656
2011-02-16,35.99930953979492
2011-02-17,36.29318618774414
2011-02-18,36.072792053222656
2011-02-22,34.45648956298828
2011-02-23,34.52995300292969
2011-02-24,34.45648956298828
2011-02-25,34.52995300292969
2011-02-28,34.383018493652344
2011-03-01,33.57487487792969
2011-03-02,33.79526901245117
2011-03-03,34.383018493652344
2011-03-04,33.35445022583008
2011-03-07,33.2075309753418
2011-03-08,34.08916091918945
2011-03-09,34.162628173828125
2011-03-10,33.35445022583008
2011-03-11,33.57487487792969
2011-03-14,33.35445022583008
2011-03-15,32.61977767944336
2011-03-16,32.25244140625
2011-03-17,32.69325637817383
2011-03-18,33.06059646606445
2011-03-21,32.54631042480469
2011-03-22,32.47284698486328
2011-03-23,32.32592010498047
2011-03-24,32.54631042480469
2011-03-25,32.7667236328125
2011-03-28,32.54631042480469
2011-03-29,32.69325637817383
2011-03-30,32.69325637817383
2011-03-31,32.47284698486328
2011-04-01,32.69325637817383
2011-04-04,32.54631042480469
2011-04-05,32.84018325805664
2011-04-06,33.72179412841797
2011-04-07,33.648338317871094
2011-04-08,33.50140380859375
2011-04-11,33.281005859375
2011-04-12,33.42793273925781
2011-04-13,33.06059646606445
2011-04-14,32.54631042480469
2011-04-15,32.47284698486328
2011-04-18,32.47284698486328
2011-04-19,33.281005859375
2011-04-20,33.57487487792969
2011-04-21,33.42793273925781
2011-04-25,33.2075309753418
2011-04-26,33.13406753540039
2011-04-27,33.13406753540039
2011-04-28,33.72179412841797
2011-04-29,33.72179412841797
2011-05-02,32.98713302612305
2011-05-03,33.2075309753418
2011-05-04,33.2075309753418
2011-05-05,32.91366195678711
2011-05-06,33.2075309753418
2011-05-09,32.443458557128906
2011-05-10,32.47284698486328
2011-05-11,31.532455444335938
2011-05-12,31.16512680053711
2011-05-13,30.511260986328125
2011-05-16,30.261474609375
2011-05-17,30.51861572265625
2011-05-18,30.298200607299805
2011-05-19,30.40106201171875
2011-05-20,30.136568069458008
2011-05-23,29.50473976135254
2011-05-24,29.761871337890625
2011-05-25,29.63697052001953
2011-05-26,29.556121826171875
2011-05-27,30.107276916503906
2011-05-31,30.239543914794922
2011-06-01,29.137250900268555
2011-06-02,29.401819229125977
2011-06-03,29.284223556518555
2011-06-06,27.976165771484375
2011-06-07,27.616085052490234
2011-06-08,27.05025291442871
2011-06-09,27.755706787109375
2011-06-10,27.865942001342773
2011-06-13,28.784517288208008
2011-06-14,28.4979305267334
2011-06-15,27.924726486206055
2011-06-16,27.652828216552734
2011-06-17,28.145185470581055
2011-06-20,28.042314529418945
2011-06-21,28.887399673461914
2011-06-22,29.03436279296875
2011-06-23,28.960895538330078
2011-06-24,29.09316062927246
2011-06-27,29.38710594177246
2011-06-28,29.50469207763672
2011-06-29,30.49675941467285
2011-06-30,30.599626541137695
2011-07-01,31.510845184326172
2011-07-05,31.283052444458008
2011-07-06,30.871522903442383
2011-07-07,31.327138900756836
2011-07-08,30.886207580566406
2011-07-11,29.240129470825195
2011-07-12,28.711030960083008
2011-07-13,29.00497817993164
2011-07-14,28.674291610717773
2011-07-15,28.203983306884766
2011-07-18,27.733671188354492
2011-07-19,27.939437866210938
2011-07-20,28.38035011291504
2011-07-21,29.629610061645508
2011-07-22,29.58552360534668
2011-07-25,29.328325271606445
2011-07-26,29.188684463500977
2011-07-27,28.123138427734375
2011-07-28,28.064350128173828
2011-07-29,28.18195915222168
2011-08-01,28.284854888916016
2011-08-02,27.226381301879883
2011-08-03,27.38809585571289
2011-08-04,25.58721351623535
2011-08-05,24.580188751220703
2011-08-08,20.54474639892578
2011-08-09,23.389406204223633
2011-08-10,20.941679000854492
2011-08-11,22.2647705078125
2011-08-12,21.941347122192383
2011-08-15,22.985118865966797
2011-08-16,22.00749969482422
2011-08-17,21.941347122192383
2011-08-18,20.56679344177246
2011-08-19,19.677379608154297
2011-08-22,19.155492782592773
2011-08-23,20.081655502319336
2011-08-24,20.91227149963379
2011-08-25,21.926647186279297
2011-08-26,21.933996200561523
2011-08-29,22.999826431274414
2011-08-30,22.7425479888916
2011-08-31,22.82341194152832
2011-09-01,22.051599502563477
2011-09-02,20.875513076782227
2011-09-06,20.36098289489746
2011-09-07,21.30184555053711
2011-09-08,20.56679344177246
2011-09-09,19.655330657958984
2011-09-12,19.817039489746094
2011-09-13,19.88319969177246
2011-09-14,20.13311004638672
2011-09-15,21.015178680419922
2011-09-16,21.309200286865234
2011-09-19,20.368331909179688
2011-09-20,19.794984817504883
2011-09-21,18.75856590270996
2011-09-22,17.611879348754883
2011-09-23,18.361635208129883
2011-09-26,19.640623092651367
2011-09-27,19.839094161987305
2011-09-28,19.052581787109375
2011-09-29,19.772939682006836
2011-09-30,18.83207130432129
2011-10-03,16.987083435058594
2011-10-04,17.927946090698242
2011-10-05,18.163166046142578
2011-10-06,19.126089096069336
2011-10-07,18.104366302490234
2011-10-10,19.4715633392334
2011-10-11,20.463886260986328
2011-10-12,21.46356201171875
2011-10-13,20.316879272460938
2011-10-14,20.875513076782227
2011-10-17,20.53004264831543
2011-10-18,21.963388442993164
2011-10-19,21.60321807861328
2011-10-20,22.110408782958984
2011-10-21,22.27212142944336
2011-10-24,23.22769546508789
2011-10-25,22.713144302368164
2011-10-26,22.89690589904785
2011-10-27,25.116764068603516
2011-10-28,25.109420776367188
2011-10-31,23.220338821411133
2011-11-01,21.441509246826172
2011-11-02,21.926647186279297
2011-11-03,22.63252830505371
2011-11-04,22.309003829956055
2011-11-07,22.463411331176758
2011-11-08,23.103126525878906
2011-11-09,21.213403701782227
2011-11-10,21.0516414642334
2011-11-11,21.56635284423828
2011-11-14,20.86781120300293
2011-11-15,20.60309600830078
2011-11-16,19.75015640258789
2011-11-17,19.11779022216797
2011-11-18,19.323684692382812
2011-11-21,18.382495880126953
2011-11-22,17.98543930053711
2011-11-23,17.286897659301758
2011-11-25,17.375131607055664
2011-11-28,18.41925811767578
2011-11-29,18.558961868286133
2011-11-30,20.206039428710938
2011-12-01,19.845746994018555
2011-12-02,20.713394165039062
2011-12-05,21.933998107910156
2011-12-06,21.87517547607422
2011-12-07,21.933998107910156
2011-12-08,20.404569625854492
2011-12-09,21.154577255249023
2011-12-12,20.014860153198242
2011-12-13,19.779569625854492
2011-12-14,19.154565811157227
2011-12-15,19.058969497680664
2011-12-16,19.139856338500977
2011-12-19,18.25014877319336
2011-12-20,19.08103370666504
2011-12-21,19.191328048706055
2011-12-22,20.331043243408203
2011-12-23,20.191333770751953
2011-12-27,19.779569625854492
2011-12-28,19.21338653564453
2011-12-29,19.67662811279297
2011-12-30,19.34573745727539
2012-01-03,20.83104133605957
2012-01-04,20.713394165039062
2012-01-05,20.963403701782227
2012-01-06,20.992815017700195
2012-01-09,21.38252067565918
2012-01-10,22.058992385864258
2012-01-11,22.992826461791992
2012-01-12,23.23548126220703
2012-01-13,22.603120803833008
2012-01-17,20.750158309936523
2012-01-18,21.34575653076172
2012-01-19,21.56635284423828
2012-01-20,21.794292449951172
2012-01-23,21.94870376586914
2012-01-24,21.9854679107666
2012-01-25,22.029584884643555
2012-01-26,22.33841323852539
2012-01-27,22.698711395263672
2012-01-30,22.22811508178711
2012-01-31,22.588417053222656
2012-02-01,23.23548126220703
2012-02-02,23.529691696166992
2012-02-03,24.669763565063477
2012-02-06,24.49324607849121
2012-02-07,24.324066162109375
2012-02-08,25.177276611328125
2012-02-09,24.75803565979004
2012-02-10,24.221097946166992
2012-02-13,24.184310913085938
2012-02-14,23.595884323120117
2012-02-15,23.331096649169922
2012-02-16,24.059274673461914
2012-02-17,24.213733673095703
2012-02-21,24.53736686706543
2012-02-22,23.80183982849121
2012-02-23,24.059274673461914
2012-02-24,23.794479370117188
2012-02-27,24.221097946166992
2012-02-28,24.625629425048828
2012-02-29,24.5079402923584
2012-03-01,25.103734970092773
2012-03-02,25.081663131713867
2012-03-05,24.772741317749023
2012-03-06,23.625308990478516
2012-03-07,24.449106216430664
2012-03-08,25.008113861083984
2012-03-09,25.155216217041016
2012-03-12,25.221418380737305
2012-03-13,26.810163497924805
2012-03-14,25.898103713989258
2012-03-15,26.677776336669922
2012-03-16,26.986690521240234
2012-03-19,27.339746475219727
2012-03-20,28.009078979492188
2012-03-21,27.803131103515625
2012-03-22,27.141157150268555
2012-03-23,27.31032943725586
2012-03-26,27.530994415283203
2012-03-27,27.052885055541992
2012-03-28,27.258846282958984
2012-03-29,26.854291915893555
2012-03-30,26.883710861206055
2012-04-02,27.11907958984375
2012-04-03,26.75132942199707
2012-04-04,25.773061752319336
2012-04-05,25.58917236328125
2012-04-09,24.98604393005371
2012-04-10,24.169601440429688
2012-04-11,24.706541061401367
2012-04-12,25.471492767333984
2012-04-13,24.574148178100586
2012-04-16,25.008113861083984
2012-04-17,25.80248260498047
2012-04-18,25.80248260498047
2012-04-19,25.6333065032959
2012-04-20,24.92719841003418
2012-04-23,24.456464767456055
2012-04-24,24.58149528503418
2012-04-25,24.772741317749023
2012-04-26,24.919849395751953
2012-04-27,24.64033317565918
2012-04-30,24.302003860473633
2012-05-01,24.713899612426758
2012-05-02,24.051916122436523
2012-05-03,23.89740562438965
2012-05-04,23.249942779541016
2012-05-07,23.301448822021484
2012-05-08,23.043926239013672
2012-05-09,22.403820037841797
2012-05-10,22.550968170166016
2012-05-11,21.5944881439209
2012-05-14,20.704219818115234
2012-05-15,20.44670295715332
2012-05-16,19.806598663330078
2012-05-17,19.431358337402344
2012-05-18,19.137056350708008
2012-05-21,19.313636779785156
2012-05-22,19.806598663330078
2012-05-23,19.975820541381836
2012-05-24,19.615297317504883
2012-05-25,19.475507736206055
2012-05-29,19.880168914794922
2012-05-30,19.129697799682617
2012-05-31,19.504940032958984
2012-06-01,18.680889129638672
2012-06-04,18.261507034301758
2012-06-05,18.94576072692871
2012-06-06,19.968467712402344
2012-06-07,19.799240112304688
2012-06-08,20.431995391845703
2012-06-11,19.48286247253418
2012-06-12,20.321626663208008
2012-06-13,20.358415603637695
2012-06-14,20.534997940063477
2012-06-15,20.829299926757812
2012-06-18,20.270122528076172
2012-06-19,20.96908950805664
2012-06-20,21.23396873474121
2012-06-21,20.476133346557617
2012-06-22,20.593847274780273
2012-06-25,19.6815185546875
2012-06-26,19.66680145263672
2012-06-27,19.939027786254883
2012-06-28,19.416645050048828
2012-06-29,20.1671199798584
2012-07-02,20.203903198242188
2012-07-03,20.343698501586914
2012-07-05,19.747739791870117
2012-07-06,19.394577026367188
2012-07-09,19.210634231567383
2012-07-10,19.041404724121094
2012-07-11,19.034055709838867
2012-07-12,18.599950790405273
2012-07-13,19.607938766479492
2012-07-16,19.725662231445312
2012-07-17,20.145044326782227
2012-07-18,19.939027786254883
2012-07-19,19.563796997070312
2012-07-20,19.034055709838867
2012-07-23,18.644102096557617
2012-07-24,18.57052230834961
2012-07-25,18.975189208984375
2012-07-26,19.335716247558594
2012-07-27,20.0861873626709
2012-07-30,19.968467712402344
2012-07-31,19.96110725402832
2012-08-01,19.703594207763672
2012-08-02,19.269332885742188
2012-08-03,20.16728973388672
2012-08-06,21.021085739135742
2012-08-07,21.263975143432617
2012-08-08,21.241901397705078
2012-08-09,21.241901397705078
2012-08-10,21.27133560180664
2012-08-13,21.183015823364258
2012-08-14,21.175657272338867
2012-08-15,21.153575897216797
2012-08-16,21.21245574951172
2012-08-17,21.367029190063477
2012-08-20,22.066253662109375
2012-08-21,22.6182804107666
2012-08-22,22.441633224487305
2012-08-23,21.779203414916992
2012-08-24,21.955846786499023
2012-08-27,21.852807998657227
2012-08-28,21.59519386291504
2012-08-29,22.014732360839844
2012-08-30,21.8233642578125
2012-08-31,21.867521286010742
2012-09-04,21.860166549682617
2012-09-05,21.91168975830078
2012-09-06,22.905330657958984
2012-09-07,23.60455894470215
2012-09-10,23.427919387817383
2012-09-11,24.038818359375
2012-09-12,24.32587432861328
2012-09-13,25.356325149536133
2012-09-14,25.606563568115234
2012-09-17,25.069272994995117
2012-09-18,24.980934143066406
2012-09-19,25.157596588134766
2012-09-20,24.885255813598633
2012-09-21,24.78221893310547
2012-09-24,24.64972496032715
2012-09-25,24.1860294342041
2012-09-26,23.928417205810547
2012-09-27,24.266992568969727
2012-09-28,24.082983016967773
2012-10-01,24.105064392089844
2012-10-02,24.48044204711914
2012-10-03,25.069272994995117
2012-10-04,25.7316951751709
2012-10-05,25.591848373413086
2012-10-08,25.599205017089844
2012-10-09,25.466724395751953
2012-10-10,25.864171981811523
2012-10-11,26.14387321472168
2012-10-12,25.577131271362305
2012-10-15,26.98295783996582
2012-10-16,27.417211532592773
2012-10-17,28.285720825195312
2012-10-18,28.278364181518555
2012-10-19,27.350967407226562
2012-10-22,27.763153076171875
2012-10-23,27.152238845825195
2012-10-24,27.454017639160156
2012-10-25,27.534969329833984
2012-10-26,26.93878746032715
2012-10-31,27.520252227783203
2012-11-01,27.939903259277344
2012-11-02,27.682222366333008
2012-11-05,27.47608757019043
2012-11-06,28.322751998901367
2012-11-07,26.54106903076172
2012-11-08,26.50425148010254
2012-11-09,26.452730178833008
2012-11-12,26.813478469848633
2012-11-13,26.62204933166504
2012-11-14,25.782760620117188
2012-11-15,25.922636032104492
2012-11-16,25.753297805786133
2012-11-19,26.57788848876953
2012-11-20,26.50425148010254
2012-11-21,26.334928512573242
2012-11-23,26.526342391967773
2012-11-26,26.18767738342285
2012-11-27,25.79747772216797
2012-11-28,25.819564819335938
2012-11-29,25.922636032104492
2012-11-30,25.45145034790039
2012-12-03,25.193777084350586
2012-12-04,25.245311737060547
2012-12-05,26.84292984008789
2012-12-06,27.25521469116211
2012-12-07,27.711671829223633
2012-12-10,27.380373001098633
2012-12-11,27.2404842376709
2012-12-12,27.630691528320312
2012-12-13,27.453998565673828
2012-12-14,27.682222366333008
2012-12-17,28.823379516601562
2012-12-18,29.051607131958008
2012-12-19,29.04424476623535
2012-12-20,29.574329376220703
2012-12-21,29.07369613647461
2012-12-24,28.99271583557129
2012-12-26,29.117876052856445
2012-12-27,28.897014617919922
2012-12-28,28.720306396484375
2012-12-31,29.125228881835938
2013-01-02,30.369464874267578
2013-01-03,30.47254180908203
2013-01-04,31.238224029541016
2013-01-07,31.267671585083008
2013-01-08,31.260299682617188
2013-01-09,30.951095581054688
2013-01-10,31.532712936401367
2013-01-11,31.171955108642578
2013-01-14,31.083614349365234
2013-01-15,31.341299057006836
2013-01-16,31.2750186920166
2013-01-17,30.362104415893555
2013-01-18,30.671337127685547
2013-01-22,30.75966453552246
2013-01-23,30.936357498168945
2013-01-24,31.5106201171875
2013-01-25,31.591609954833984
2013-01-28,31.171955108642578
2013-01-29,31.03942108154297
2013-01-30,30.884822845458984
2013-01-31,31.046825408935547
2013-02-01,31.680137634277344
2013-02-04,31.083667755126953
2013-02-05,31.60650634765625
2013-02-06,31.702234268188477
2013-02-07,31.569669723510742
2013-02-08,31.429767608642578
2013-02-11,31.775869369506836
2013-02-12,32.659568786621094
2013-02-13,32.401832580566406
2013-02-14,32.63748550415039
2013-02-15,32.28400802612305
2013-02-19,32.770023345947266
2013-02-20,31.827423095703125
