date,TLT,IEF,ZN=F,SPY
2011-09-02,74.49363708496094,75.7925033569336,131.296875,90.51439666748047
2011-09-06,75.2683334350586,75.89396667480469,131.21875,89.85388946533203
2011-09-07,73.8315658569336,75.4880142211914,130.890625,92.38846588134766
2011-09-08,74.49363708496094,75.85775756835938,131.234375,91.42841339111328
2011-09-09,75.28816986083984,76.22750091552734,131.765625,89.03211212158203
2011-09-12,75.36758422851562,75.9955062866211,131.46875,89.608154296875
2011-09-13,74.29501342773438,75.77078247070312,131.0625,90.42994689941406
2011-09-14,74.92400360107422,75.81421661376953,130.890625,91.68185424804688
2011-09-15,73.778564453125,75.24874114990234,130.40625,93.26403045654297
2011-09-16,74.31488800048828,75.39373779296875,130.484375,93.81607055664062
2011-09-19,75.73178100585938,76.00997924804688,131.421875,92.88190460205078
2011-09-20,76.04957580566406,76.11146545410156,131.34375,92.77384185791016
2011-09-21,78.5655746459961,76.43778228759766,131.671875,90.04086303710938
2011-09-22,81.51863861083984,77.1482925415039,131.75,87.13034057617188
2011-09-23,80.0023422241211,76.51023864746094,130.96875,87.65533447265625
2011-09-26,78.71788787841797,76.19122314453125,130.34375,89.73976135253906
2011-09-27,77.51284790039062,75.68376159667969,129.5625,90.74341583251953
2011-09-28,77.48637390136719,75.69822692871094,129.671875,88.89055633544922
2011-09-29,78.02265167236328,75.69822692871094,129.984375,89.59310150146484
2011-09-30,79.98249053955078,76.1767578125,130.09375,87.3542251586914
2011-10-03,82.1836166381836,76.88217163085938,130.984375,84.86831665039062
2011-10-04,81.1414566040039,76.48978424072266,130.953125,86.72886657714844
2011-10-05,80.55732727050781,76.17020416259766,130.109375,88.33470153808594
2011-10-06,79.0704574584961,75.63987731933594,129.515625,89.9327621459961
2011-10-07,78.48633575439453,75.24760437011719,128.890625,89.33061218261719
2011-10-10,77.37779235839844,74.45570373535156,127.59375,92.3183364868164
2011-10-11,77.1189193725586,74.70272827148438,128.234375,92.41096496582031
2011-10-12,75.9970932006836,74.44845581054688,127.921875,93.22158813476562
2011-10-13,76.75386047363281,74.74629211425781,128.4375,93.03632354736328
2011-10-14,75.63864135742188,74.37580108642578,128.125,94.62664794921875
2011-10-17,76.94631958007812,74.86260223388672,128.71875,92.82015991210938
2011-10-18,76.4684066772461,74.78264617919922,128.828125,94.63438415527344
2011-10-19,76.44186401367188,74.89885711669922,128.84375,93.51496124267578
2011-10-20,75.89755249023438,74.74629211425781,128.703125,93.92411804199219
2011-10-21,75.09436798095703,74.60830688476562,128.65625,95.70750427246094
2011-10-24,75.220458984375,74.57197570800781,128.34375,96.88098907470703
2011-10-25,77.13223266601562,75.21125793457031,129.125,94.99726104736328
2011-10-26,75.78472137451172,74.65917205810547,128.578125,95.96224212646484
2011-10-27,73.21582794189453,73.75833892822266,127.3125,99.30516815185547
2011-10-28,73.98583221435547,74.20145416259766,128.09375,99.28193664550781
2011-10-31,76.91980743408203,75.1967544555664,129.0625,96.88870239257812
2011-11-01,79.49458312988281,76.09867095947266,130.25,94.18660736083984
2011-11-02,78.50304412841797,75.91667175292969,130.3125,95.72295379638672
2011-11-03,77.42488098144531,75.55998992919922,130.046875,97.46771240234375
2011-11-04,77.51803588867188,75.7856216430664,130.25,96.87326049804688
2011-11-07,78.01055145263672,75.87297821044922,130.546875,97.47539520263672
2011-11-08,77.01229858398438,75.53083038330078,130.046875,98.72612762451172
2011-11-09,78.6094741821289,76.20054626464844,130.8125,95.08216857910156
2011-11-10,77.43817138671875,75.82929229736328,130.34375,95.97769165039062
2011-11-11,76.96569061279297,75.4799575805664,129.78125,97.78424835205078
2011-11-14,78.20354461669922,75.95307159423828,130.453125,96.85779571533203
2011-11-15,78.09700775146484,75.8512191772461,130.328125,97.33645629882812
2011-11-16,78.80912017822266,76.12776184082031,130.5,95.79240417480469
2011-11-17,79.44133758544922,76.28064727783203,130.828125,94.27151489257812
2011-11-18,79.42142486572266,75.99678802490234,130.296875,94.17117309570312
2011-11-21,79.8939437866211,76.20784759521484,130.578125,92.38009643554688
2011-11-22,80.78569030761719,76.44078826904297,130.796875,92.01722717285156
2011-11-23,81.5776596069336,76.70282745361328,131.21875,89.98682403564453
2011-11-25,80.39303588867188,76.21512603759766,130.65625,89.81697845458984
2011-11-28,80.35315704345703,76.22237396240234,130.71875,92.4186782836914
2011-11-29,79.69427490234375,76.07687377929688,130.46875,92.68119812011719
2011-11-30,78.44979095458984,75.6327896118164,130.15625,96.49496459960938
2011-12-01,78.05610656738281,75.61087036132812,129.984375,96.47950744628906
2011-12-02,79.15033721923828,75.94637298583984,130.5,96.39460754394531
2011-12-05,78.99014282226562,75.90262603759766,130.40625,97.44454956054688
2011-12-06,78.23628997802734,75.70569610595703,130.15625,97.47539520263672
2011-12-07,78.51648712158203,76.04850769042969,130.765625,97.83824157714844
2011-12-08,79.49717712402344,76.4350357055664,131.171875,95.69204711914062
2011-12-09,77.8626937866211,75.90994262695312,130.640625,97.31330871582031
2011-12-12,78.72996520996094,76.17250061035156,131.03125,95.89280700683594
2011-12-13,79.46383666992188,76.52254486083984,131.3125,94.99726104736328
2011-12-14,80.96489715576172,76.84345245361328,131.609375,93.98588562011719
2011-12-15,80.6646957397461,76.7778549194336,131.484375,94.32557678222656
2011-12-16,81.60543060302734,77.14977264404297,131.953125,94.46542358398438
2011-12-19,82.63949584960938,77.41233825683594,132.125,93.45543670654297
2011-12-20,80.57797241210938,76.71217346191406,131.59375,96.2834243774414
2011-12-21,79.45714569091797,76.46419525146484,130.421875,96.46986389160156
2011-12-22,79.79076385498047,76.55904388427734,130.453125,97.324462890625
2011-12-23,78.90343475341797,76.24541473388672,129.859375,98.19463348388672
2011-12-27,79.27825164794922,76.28845977783203,129.953125,98.27233123779297
2011-12-28,80.74395751953125,76.77076721191406,130.703125,96.9826431274414
2011-12-29,80.8912124633789,76.86576080322266,130.84375,97.98486328125
2011-12-30,81.15225219726562,77.13607025146484,131.125,97.50318908691406
2012-01-03,79.9341812133789,76.64653778076172,130.546875,99.05699157714844
2012-01-04,78.98374938964844,76.40538787841797,130.390625,99.21241760253906
2012-01-05,78.84320831298828,76.42007446289062,130.5,99.4765396118164
