Symbol,yf_symbol,Security,sector,sub_industry,hq_location,county,state_name,county_fips,county_sci_sum,county_log_sci_sum,county_sci_z,county_sci_rank_pct,earnings_date,event_day,surprise_pct,vix_level,high_vix,pre_abs_mean,pre_rv_mean,event_abs,event_rv,post_abs_mean,post_rv_mean,jump_log_abs,jump_log_rv,decay_speed_log_abs,decay_speed_log_rv,abs_event_abn,rv_event_abn,abs_decay_abn,rv_decay_abn,sample_year,sample_quarter
BIIB,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Middlesex County,Massachusetts,25017,8979556.0,16.010461107212976,-2.400828192233487,0.0081148564294631,2022-10-25T11:00:00,2022-10-26T00:00:00,15.5,27.280000686645508,1,0.03208640888875034,0.006076738335611679,0.024803146028540723,0.0006151960529131154,0.010611198622503083,0.00015924331784811842,-0.2574619487417761,-2.2902822247330734,0.8490600446260154,1.3515072033755213,-0.0072832628602096175,-0.005461542282698564,0.014191947406037641,0.000455952735064997,2022,4
BIIB,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Middlesex County,Massachusetts,25017,8979556.0,16.010461107212976,-2.400828192233487,0.0081148564294631,2022-07-20T11:00:00,2022-07-21T00:00:00,29.01,23.11000061035156,1,0.015052696899374763,0.00044839334786172413,0.03117316593827102,0.0009717662746149805,0.014997686297563817,0.00035985721977160884,0.7280001440085017,0.7734443414068285,0.7316613703088547,0.9934078013147472,0.016120469038896256,0.0005233729267532564,0.016175479640707202,0.0006119090548433717,2022,3
BIIB,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Middlesex County,Massachusetts,25017,8979556.0,16.010461107212976,-2.400828192233487,0.0081148564294631,2022-05-03T11:00:00,2022-05-04T00:00:00,-17.04,25.420000076293945,1,0.016055125658265012,0.00042253841360858236,0.02116485507853394,0.0004479510904953439,0.03459172445225924,0.0012607875009880613,0.2763137221062725,0.058403677579599765,-0.49127226565408033,-1.0348076081212085,0.005109729420268928,2.5412676886761533e-05,-0.013426869373725302,-0.0008128364104927174,2022,2
BIIB,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Middlesex County,Massachusetts,25017,8979556.0,16.010461107212976,-2.400828192233487,0.0081148564294631,2022-02-03T12:00:00,2022-02-04T00:00:00,0.59,23.21999931335449,1,0.019421434313647446,0.000611135340565744,0.006158048075723066,3.7921556102916556e-05,0.016203116644732063,0.00039196563767905906,-1.1486163521851513,-2.779796254893449,-0.9674427459799883,-2.335652082057292,-0.01326338623792438,-0.0005732137844628274,-0.010045068569008997,-0.0003540440815761425,2022,1
BIIB,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Middlesex County,Massachusetts,25017,8979556.0,16.010461107212976,-2.400828192233487,0.0081148564294631,2021-10-20T11:00:00,2021-10-21T00:00:00,16.46,15.010000228881836,0,0.010936156346370084,0.0002024166766991983,0.01356250208390719,0.0001839414627759869,0.02092665661200801,0.0005838558749296406,0.21523421207660445,-0.0957107092515644,-0.4337147378541702,-1.155036220585089,0.0026263457375371065,-1.8475213923211395e-05,-0.007364154528100818,-0.0003999144121536537,2021,4
BIIB,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Middlesex County,Massachusetts,25017,8979556.0,16.010461107212976,-2.400828192233487,0.0081148564294631,2021-07-22T11:00:00,2021-07-23T00:00:00,23.52,17.200000762939453,0,0.018467042998632045,0.0007154820823833546,0.0029458456483322237,8.6780065837979e-06,0.00983402893784877,0.00014318215861999745,-1.8355889077382423,-4.412153326986999,-1.2054504108631023,-2.8033149851627104,-0.01552119735029982,-0.0007068040757995567,-0.006888183289516547,-0.00013450415203619955,2021,3
BIIB,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Middlesex County,Massachusetts,25017,8979556.0,16.010461107212976,-2.400828192233487,0.0081148564294631,2021-04-22T11:00:00,2021-04-23T00:00:00,8.1,17.329999923706055,0,0.010684159780676517,0.00018076465750440333,0.013918154429449103,0.0001937150227219937,0.010039784950721043,0.00016963834909337455,0.26443159427391927,0.06919213662177803,0.326638089690662,0.13271923804774488,0.0032339946487725865,1.2950365217590372e-05,0.0038783694787280602,2.4076673628619158e-05,2021,2
BIIB,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Middlesex County,Massachusetts,25017,8979556.0,16.010461107212976,-2.400828192233487,0.0081148564294631,2021-02-03T12:00:00,2021-02-04T00:00:00,-4.54,21.770000457763672,1,0.016801680033891264,0.0005627901184332448,0.015604170579691434,0.0002434901394801077,0.011820020955452648,0.0001819849157178702,-0.07394061437373511,-0.8378300874579747,0.2777432333521999,0.2911525049817427,-0.00119750945419983,-0.00031929997895313713,0.003784149624238786,6.15052237622375e-05,2021,1
BIIB,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Middlesex County,Massachusetts,25017,8979556.0,16.010461107212976,-2.400828192233487,0.0081148564294631,2020-10-21T11:00:00,2020-10-22T00:00:00,9.81,28.11000061035156,1,0.01322194454909531,0.0003095317229551901,0.007877496459638422,6.205495047161588e-05,0.01864966197929583,0.0006110299053076818,-0.5178672567241437,-1.6070390054547483,-0.8618171430334582,-2.2871241645710563,-0.005344448089456888,-0.00024747677248357423,-0.010772165519657408,-0.0005489749548360659,2020,4
BIIB,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Middlesex County,Massachusetts,25017,8979556.0,16.010461107212976,-2.400828192233487,0.0081148564294631,2020-07-22T11:00:00,2020-07-23T00:00:00,28.2,26.07999992370605,1,0.012544753246951146,0.0002611852178494616,0.008224274929738762,6.763869811992952e-05,0.02249500233278674,0.000717964365417143,-0.42221195309821785,-1.3510484303495622,-1.0062022563002047,-2.3622383216654277,-0.004320478317212384,-0.0001935465197295321,-0.014270727403047977,-0.0006503256672972135,2020,3
