rep,horizon,total_variance_lift,avg_abs_corr_delta
4,56,-0.5104335529370979,0.21229933131106332
4,57,-0.5293373309930478,0.19960740038080724
4,58,-0.5429936578065813,0.18597668128756317
4,59,-0.5566668987272687,0.19533036732294148
4,60,-0.5560151628483013,0.17720933765514926
5,0,0.134933188546984,0.09830266319043482
5,1,0.18446210482732095,0.11702245145320571
5,2,0.13118034580128546,0.1134905862193842
5,3,0.2044716792647998,0.14254530759607023
5,4,0.15330059218858416,0.13761525284003442
5,5,0.13613551159155857,0.13389826654603765
5,6,0.13069883684746264,0.09774055230545026
5,7,0.08353678091497385,0.09899492217565171
5,8,0.08337063778204601,0.11738372745996875
5,9,0.11144327368562967,0.07589891734900799
5,10,0.06970614319584678,0.0659109409288112
5,11,0.021401456290377707,0.07061818369929804
5,12,-0.03483807036401976,0.06621195645694225
5,13,-0.03610036172482656,0.046805799419854265
5,14,-0.027363942166605315,0.06149021078734782
5,15,-0.08040014069051804,0.06222826823863133
5,16,-0.13163396273019357,0.0621696434239707
5,17,-0.16345918404195492,0.07296744414005019
5,18,-0.20487903809084107,0.0650638103067004
5,19,-0.20715968875690838,0.05527769465570827
5,20,-0.12929038829057704,0.11002569010914647
5,21,-0.14601708919199718,0.09762495271770436
5,22,-0.17659317443504208,0.09579315249783964
5,23,-0.16638786489397717,0.09360500053072587
5,24,-0.18479561417344748,0.06845673511373954
5,25,-0.21814480187287877,0.07702292498645309
5,26,-0.24602629675518928,0.07199085485399363
5,27,-0.2198763038916357,0.11021782906773406
5,28,-0.24229358432401804,0.10514076446311624
5,29,-0.2702485049619078,0.09997682823112897
5,30,-0.30291315732223334,0.09698723773628151
5,31,-0.30586999346310206,0.09639296858170218
5,32,-0.25090549179597255,0.13692878072316556
5,33,-0.2645880527363905,0.12824241619887738
5,34,-0.3052721627423006,0.13181994045623316
5,35,-0.30690727364827897,0.1455953932089055
5,36,-0.3272913691264877,0.13079883928947594
5,37,-0.35547411556933817,0.1329731777725186
5,38,-0.37716413447066954,0.14367227992669185
5,39,-0.39405342457562553,0.13484691075307167
5,40,-0.38574393372583593,0.14502754871925777
5,41,-0.4071765520655859,0.13644136337834015
5,42,-0.4240022394450693,0.13158018514093403
5,43,-0.41189343490699315,0.13439038806210324
5,44,-0.4179678746420692,0.12261549517426788
5,45,-0.4267846288406103,0.133237484604332
5,46,-0.4387022835167709,0.13518852757413585
5,47,-0.4599447367017705,0.14238787595752198
5,48,-0.4618829799912121,0.12390294801973631
5,49,-0.4805053660429909,0.1192677346655723
5,50,-0.4739785864577142,0.1342104265008123
5,51,-0.4931524042713089,0.1265205585957382
5,52,-0.47157926781975135,0.15184197465859492
5,53,-0.4792102219184622,0.14123958483136115
5,54,-0.4504059321338624,0.1636247725411462
5,55,-0.46287806636681805,0.1778469266319834
5,56,-0.45052458535899653,0.15277848543631314
5,57,-0.4617089518731218,0.14766307930017622
5,58,-0.48563283897765963,0.15356399882703758
5,59,-0.5124987766982414,0.1471654204162796
5,60,-0.5206958758964364,0.15029757558890575
6,0,-0.05044165215903651,0.004289403269209401
6,1,0.004827600397113718,0.02838487057366444
6,2,0.0047503787442797485,0.04195335034819171
6,3,-0.03193618218521255,0.046630751089329424
6,4,-0.01335422441814993,0.06158014409802909
6,5,-0.061272507921607766,0.060259018345970125
6,6,-0.08335845571158074,0.043563935694697374
6,7,-0.13456904007251613,0.043158041920761066
6,8,-0.11485796161094741,0.06317521049658262
6,9,-0.04289702184441224,0.09514064906232599
6,10,-0.09653801757618496,0.09532664475812311
6,11,-0.12206328553792001,0.09608385645543734
6,12,-0.0633160301333614,0.12874204707548675
6,13,0.0992663704926231,0.20589765434028012
6,14,0.057760775187043256,0.19862850983694863
6,15,0.12292238404143285,0.25963920192947604
6,16,0.11331181250586453,0.2620250347234897
6,17,0.0940940170336384,0.2542151712792756
6,18,0.24191535309316703,0.27993970784920774
6,19,0.17797055049993338,0.2715220814284143
6,20,0.12497340995125561,0.271724126925767
6,21,0.16151600124745547,0.287049381833976
6,22,0.14468510135754187,0.29316779554627725
6,23,0.09667093728435039,0.29106339955608995
6,24,0.09310147774709177,0.2817857056554232
6,25,0.17858712185894077,0.246781057772484
6,26,0.11930778047154034,0.24083538590661613
6,27,0.09267167613389193,0.22972654428724634
6,28,0.14264974155633658,0.19154242081783418
6,29,0.1151422522230241,0.1899845427836829
6,30,0.31582050983895527,0.2512851817252028
6,31,0.28193912928717535,0.24422756572917348
6,32,0.3586870929775863,0.25096254559122055
6,33,0.2913530132732933,0.24023869816152038
6,34,0.5122672599233422,0.3366674139268767
